stableCode,session,questionCount,forms,completeness,reviewGrade
eju-2016-2-math-c2-ja,2016-2,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2016-2-science-ja,2016-2,44,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2017-1-math-c1-ja,2017-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2017-1-science-ja,2017-1,41,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2017-2-japan-world-ja,2017-2,13,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2017-2-math-c1-ja,2017-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2017-2-math-c2-ja,2017-2,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2017-2-science-ja,2017-2,18,PHYSICS_JA,PARTIAL,MACHINE_ATTESTED
eju-2018-1-japan-world-ja,2018-1,31,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2018-1-math-c1-ja,2018-1,3,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2018-1-math-c2-ja,2018-1,2,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2018-1-science-ja,2018-1,12,PHYSICS_JA,PARTIAL,MACHINE_ATTESTED
eju-2018-2-japan-world-ja,2018-2,14,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2018-2-math-c1-ja,2018-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2018-2-math-c2-ja,2018-2,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2018-2-science-ja,2018-2,36,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2019-1-japan-world-ja,2019-1,12,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2019-1-science-ja,2019-1,35,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2020-2-japan-world-ja,2020-2,14,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2020-2-math-c1-ja,2020-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2020-2-math-c2-ja,2020-2,5,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2020-2-science-ja,2020-2,34,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2021-1-japan-world-ja,2021-1,16,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2021-1-math-c1-ja,2021-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2021-1-math-c2-ja,2021-1,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2021-1-science-ja,2021-1,9,PHYSICS_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2021-2-japan-world-ja,2021-2,13,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2021-2-math-c1-ja,2021-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2021-2-science-ja,2021-2,16,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2022-1-math-c1-ja,2022-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2022-1-math-c2-ja,2022-1,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2022-1-science-ja,2022-1,25,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2022-2-japan-world-ja,2022-2,15,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2022-2-math-c1-ja,2022-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2022-2-math-c2-ja,2022-2,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2022-2-science-ja,2022-2,26,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2023-1-science-ja,2023-1,48,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2023-2-japan-world-ja,2023-2,2,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2002-1-japan-world-ja,2002-1,32,JAPAN_AND_WORLD_JA,PARTIAL,MACHINE_ATTESTED
eju-2010-1-math-c2-ja,2010-1,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2011-1-math-c2-ja,2011-1,7,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2014-2-math-c2-ja,2014-2,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2015-1-math-c2-ja,2015-1,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2019-1-math-c2-ja,2019-1,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2023-1-math-c1-ja,2023-1,5,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2023-2-math-c2-ja,2023-2,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2023-2-science-ja,2023-2,42,PHYSICS_JA;CHEMISTRY_JA;BIOLOGY_JA,PARTIAL,MACHINE_ATTESTED
eju-2009-1-math-c1-ja,2009-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2009-2-math-c1-ja,2009-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2009-2-math-c2-ja,2009-2,5,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2010-2-math-c2-ja,2010-2,5,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2012-1-math-c2-ja,2012-1,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2015-2-math-c1-ja,2015-2,5,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2016-1-math-c1-ja,2016-1,5,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2023-2-math-c1-ja,2023-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2010-2-math-c1-ja,2010-2,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2013-1-math-c1-ja,2013-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2017-1-math-c2-ja,2017-1,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
eju-2019-1-math-c1-ja,2019-1,6,MATHEMATICS_COURSE_1_JA,PARTIAL,MACHINE_ATTESTED
eju-2021-2-math-c2-ja,2021-2,6,MATHEMATICS_COURSE_2_JA,PARTIAL,MACHINE_ATTESTED
